"idstud";"female";"HISEI";"AGE";"R040Q02";"R040Q03A";"R040Q03B";"R040Q04";"R040Q06";"R077Q02";"R077Q03";"R077Q04";"R077Q05";"R077Q06";"R088Q01";"R088Q03";"R088Q04T";"R088Q05T";"R088Q07";"R110Q01";"R110Q04";"R110Q05";"R110Q06";"R216Q01";"R216Q02";"R216Q03T";"R216Q04";"R216Q06";"R236Q01";"R236Q02"
"27600001";0;99;186;1;1;1;0;0;1;2;1;1;1;1;1;2;0;1;1;1;1;1;0;1;1;0;0;1;1
"27600005";1;51;186;1;1;1;1;0;1;2;1;0;0;0;2;1;1;1;1;1;0;0;1;1;0;1;0;1;0
"27600008";1;66;190;0;1;1;1;1;1;2;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1
"27600009";1;88;194;1;1;1;1;1;1;2;1;0;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"27600020";1;56;185;1;1;1;1;1;1;2;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
"27600025";1;57;190;1;1;1;1;1;1;2;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1
"27600027";1;45;193;0;1;0;1;0;1;2;0;0;0;1;2;1;0;0;1;1;1;1;0;1;1;1;1;0;0
"27600034";0;38;189;1;0;1;1;0;0;2;0;0;1;0;0;2;1;1;1;1;1;1;1;0;1;0;1;1;0
"27600038";1;43;191;1;0;0;1;0;1;2;1;1;1;1;0;2;1;1;1;1;0;1;1;1;1;1;0;1;0
"27600043";0;53;189;1;1;0;1;0;1;2;1;0;0;1;1;2;1;1;1;1;0;1;0;0;0;1;0;1;0
"27600046";0;55;189;1;1;1;1;0;1;2;0;1;1;1;2;1;1;1;1;1;1;0;1;1;0;0;1;0;0
"27600048";0;43;187;1;0;1;1;0;1;0;1;0;0;1;1;0;0;0;1;1;0;0;1;1;0;0;0;0;0
"27600053";0;52;184;0;1;0;1;1;1;0;0;0;0;0;0;1;1;0;1;1;0;1;0;1;1;0;1;1;0
"27600059";0;77;185;1;1;1;0;1;1;0;0;0;0;1;1;1;0;1;1;1;1;1;0;0;0;0;1;1;0
"27600061";0;43;191;1;1;1;1;1;1;2;1;0;0;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0
"27600066";1;53;184;1;0;1;1;1;1;2;1;0;0;0;1;1;0;0;0;1;0;0;1;0;1;1;1;0;0
"27600067";0;66;186;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"27600068";1;32;193;1;1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0
"27600074";0;31;188;1;1;0;1;1;0;0;1;0;0;1;0;0;1;0;1;1;0;0;1;0;0;0;1;0;0
"27600078";1;69;187;0;0;0;1;0;1;2;1;0;1;1;2;1;1;1;1;1;1;1;1;1;1;0;1;1;0
"27600079";1;69;191;1;1;1;1;1;1;2;1;1;0;0;0;2;1;1;1;1;1;1;1;0;1;0;1;0;0
"27600089";0;78;189;1;1;0;1;1;1;2;0;0;0;1;2;1;1;0;1;1;1;1;1;1;1;1;1;1;1
"27600099";0;67;190;1;1;1;1;1;1;0;1;0;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"27600114";0;45;189;1;1;1;1;1;1;2;0;0;0;1;2;1;1;1;1;1;1;1;1;1;1;1;1;0;0
"27600115";0;34;186;0;0;0;0;1;1;2;0;1;1;1;0;1;1;0;1;1;1;1;0;0;1;1;1;0;0
"27600117";0;50;189;1;0;0;0;1;1;1;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0;1;1;1;0
"27600121";0;29;185;1;1;1;1;1;1;2;0;1;0;1;1;1;0;1;1;1;1;1;1;1;0;1;0;1;0
"27600122";1;52;185;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
"27600128";0;28;188;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"27600129";1;33;191;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;1;1;1;1;0;0;0;0;0;1;0
"27600133";1;52;188;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;0;0;0;0;0;0
"27600135";1;53;193;1;1;0;1;0;1;2;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;1;1;0;1
"27600151";0;51;190;1;1;0;0;1;1;2;1;1;0;0;2;1;1;1;1;0;1;0;1;1;1;1;1;1;0
"27600164";1;59;187;0;0;0;0;0;1;2;0;0;0;1;2;1;1;0;1;1;1;1;1;1;0;1;0;1;1
"27600168";1;43;186;0;0;0;1;1;1;1;1;0;1;1;1;1;0;0;1;0;0;1;1;1;1;0;1;1;0
"27600169";0;43;190;0;0;0;1;1;1;0;0;0;1;1;1;0;0;0;1;1;1;0;1;1;0;0;1;0;1
"27600173";0;34;188;1;1;0;1;0;1;2;1;1;0;0;1;0;1;0;1;0;1;0;1;0;0;0;0;1;0
"27600174";1;50;187;1;0;0;1;0;1;2;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;1;1;0
"27600177";1;55;191;1;0;0;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0
"27600178";0;38;193;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0
"27600194";0;43;187;1;1;0;1;1;1;2;1;0;1;1;2;1;1;1;1;1;1;1;0;0;0;0;0;0;0
"27600196";1;69;193;1;0;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0
"27600199";0;51;186;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;1;0
"27600201";1;32;188;1;1;0;1;1;1;0;1;0;0;1;2;0;0;1;1;1;1;1;1;1;1;0;1;0;0
"27600202";0;51;185;1;1;0;1;1;1;0;0;0;0;1;2;0;1;1;1;1;1;1;0;1;1;1;0;0;0
"27600208";1;38;193;1;1;0;1;1;0;0;0;0;0;1;2;1;0;0;1;1;1;0;0;0;0;0;1;0;0
"27600219";0;53;192;1;1;1;1;1;1;2;0;0;0;1;2;1;1;1;1;1;1;1;1;1;0;1;0;0;0
"27600221";1;53;193;1;1;1;1;1;1;0;1;0;1;1;2;0;1;1;1;1;1;0;1;0;1;1;1;1;1
"27600224";1;43;188;0;0;0;1;1;0;1;0;0;0;1;0;1;0;1;1;1;1;1;0;0;0;0;0;1;0
"27600228";1;53;193;1;0;0;1;0;1;2;1;1;0;0;1;1;1;1;0;1;1;0;1;1;1;1;1;0;0
"27600230";1;60;184;1;1;1;1;0;1;2;1;1;1;1;1;1;1;1;0;1;0;1;1;0;0;1;1;1;0
"27600232";1;51;193;0;1;0;1;1;1;1;0;1;0;1;0;0;1;0;1;1;1;1;0;1;0;0;1;1;0
"27600239";1;56;192;1;0;1;1;0;1;2;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
"27600241";1;53;185;1;1;1;1;0;1;2;1;0;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0
"27600247";1;50;183;0;1;1;1;1;1;0;0;0;0;0;1;1;1;1;1;1;0;1;1;0;0;0;1;1;0
"27600249";1;56;187;0;0;0;0;0;1;2;0;1;0;1;2;2;0;0;1;1;1;1;0;1;0;0;1;1;1
"27600257";0;51;184;1;1;1;1;1;1;2;1;0;0;0;2;1;1;1;1;1;1;1;1;0;0;0;1;1;1
"27600258";0;51;194;1;0;0;0;0;1;0;1;0;0;0;0;2;0;0;1;1;1;0;0;0;0;0;0;1;0
"27600262";0;69;192;1;1;1;1;1;1;2;1;1;0;1;2;2;1;1;0;0;1;1;1;1;1;1;1;1;0
"27600272";1;51;194;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;1;0
"27600273";1;56;187;1;0;0;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;0
"27600275";1;51;185;0;0;0;0;0;0;2;0;0;0;1;2;0;0;1;0;0;0;1;1;1;0;0;0;0;0
"27600292";1;69;188;1;1;1;1;1;1;2;1;1;1;0;0;0;1;0;1;1;1;1;1;1;1;0;1;1;0
"27600294";1;45;187;1;1;1;1;1;1;2;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"27600295";1;66;183;1;0;0;1;1;0;2;0;1;0;0;0;0;1;0;1;0;1;1;0;1;1;0;1;0;0
"27600299";0;55;192;1;1;0;1;1;1;2;1;0;0;1;2;2;1;1;1;1;1;1;1;1;1;0;1;1;1
"27600303";1;71;194;1;1;1;1;1;1;0;1;0;0;1;2;2;1;1;1;1;1;1;1;1;1;1;1;0;0
"27600304";1;69;187;1;1;0;1;1;1;2;1;1;1;1;1;0;0;0;1;1;1;1;1;0;1;1;0;1;0
"27600310";1;53;189;1;1;1;1;1;1;2;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
"27600313";0;43;185;1;1;0;0;0;1;0;0;0;1;1;2;0;1;1;1;1;0;1;1;1;0;0;1;1;0
"27600318";1;51;189;0;1;1;1;1;1;2;1;1;0;1;2;2;1;0;1;1;1;0;1;1;1;0;1;1;0
"27600321";0;53;184;1;1;1;1;1;1;0;1;0;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"27600324";0;51;191;0;1;1;1;1;1;2;0;0;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
"27600330";1;73;184;0;1;1;1;1;1;2;1;1;1;1;2;1;1;0;0;1;1;1;1;1;1;1;1;1;1
"27600336";1;43;190;0;0;1;1;0;1;1;1;0;0;0;1;1;1;0;1;1;1;1;1;1;1;0;1;1;0
"27600344";1;54;191;1;0;0;1;1;1;2;0;1;1;0;0;1;1;1;1;1;1;1;1;1;1;0;1;1;0
"27600350";0;69;188;1;1;0;1;1;1;2;1;0;1;1;2;1;1;1;1;1;1;1;1;1;1;0;1;0;0
"27600352";1;55;184;1;1;0;1;1;1;2;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1
"27600356";0;55;185;0;1;0;1;1;0;1;1;0;0;1;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0
"27600359";0;43;192;1;0;0;1;1;1;2;1;0;1;0;0;0;1;1;1;1;0;0;1;0;0;0;1;0;0
"27600361";1;69;189;0;0;1;1;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;1;0;0;1;0;0
"27600370";1;34;190;0;0;0;0;0;1;2;0;0;1;0;1;0;0;1;1;1;1;0;1;1;1;0;1;0;1
"27600376";0;30;186;0;0;0;1;1;1;2;1;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;1;0;0
"27600379";1;43;190;1;0;1;1;0;1;2;1;0;0;1;1;2;1;1;1;1;1;1;1;1;0;0;1;0;0
"27600380";0;40;191;1;0;0;1;1;1;2;0;1;0;0;0;1;1;0;1;1;1;1;1;0;0;0;0;1;0
"27600382";1;99;188;1;0;1;1;0;1;1;1;0;0;0;0;1;1;1;1;1;0;1;1;0;0;0;1;0;0
"27600385";1;54;187;1;1;1;1;1;1;2;0;1;1;1;2;1;1;1;1;1;1;0;1;1;0;1;1;1;0
"27600395";1;56;186;0;0;0;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
"27600398";0;69;190;1;0;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;0;1;0;0;1;1
"27600405";1;77;194;1;0;0;1;0;1;2;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"27600407";0;69;194;1;1;1;1;1;1;0;0;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1
"27600410";0;55;194;0;1;0;1;1;1;0;1;0;0;1;2;0;1;1;1;1;0;0;1;1;1;1;1;0;0
"27600416";0;56;185;1;1;1;1;0;1;0;0;0;1;0;0;0;0;1;1;1;0;1;1;0;0;0;0;0;0
"27600423";1;33;187;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;1;0;0;0;1;0;0;0;1;0;0
"27600426";1;34;188;0;0;0;0;0;1;0;1;0;1;1;1;1;1;0;1;1;0;1;1;0;0;1;1;0;1
"27600432";0;51;190;1;0;0;1;1;1;0;1;0;0;1;1;1;0;1;0;1;1;1;1;1;1;0;1;0;0
"27600454";0;53;189;1;1;1;1;1;1;0;1;0;0;1;0;1;0;1;1;1;0;1;1;1;1;0;1;1;0
"27600463";1;66;191;1;0;1;1;1;1;2;1;0;0;1;2;1;0;1;1;1;1;1;1;1;1;1;1;1;1
"27600464";0;55;189;1;1;1;1;0;1;2;0;0;0;1;1;0;1;1;1;1;1;1;1;1;1;0;1;0;0
"27600469";1;43;184;1;0;1;1;0;1;2;1;0;1;1;0;2;1;1;1;1;1;0;1;1;1;1;1;0;1
"27600472";1;69;183;1;1;1;1;1;1;2;1;0;0;1;1;0;1;1;1;1;0;1;1;1;0;1;1;1;0
"27600474";1;53;194;0;1;0;1;1;1;2;1;1;0;0;2;1;1;1;1;1;1;1;1;1;0;0;1;1;0
"27600478";1;49;191;0;0;0;0;0;0;2;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0
"27600480";1;30;184;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0
"27600484";0;99;185;1;0;0;1;1;1;0;0;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0
"27600486";1;23;187;1;1;0;1;1;1;0;0;0;1;1;2;2;1;1;1;1;1;0;1;1;0;1;1;0;0
"27600493";1;38;194;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0
"27600498";1;38;192;1;0;1;1;1;1;2;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1
"27600504";0;53;193;0;1;1;1;1;1;0;1;1;0;1;2;0;1;1;1;0;1;1;1;1;0;0;1;0;0
"27600513";0;40;189;0;1;0;1;1;0;1;0;0;1;0;2;0;1;0;1;1;0;1;0;1;1;1;1;1;0
"27600514";1;54;190;0;1;0;1;1;1;2;1;0;0;1;2;1;1;0;1;1;1;1;1;0;0;0;1;1;0
"27600515";1;23;183;0;0;0;0;0;1;0;1;0;1;1;2;1;1;0;1;1;1;1;1;1;0;0;1;0;1
"27600518";1;56;189;1;1;0;1;1;1;2;0;0;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;0
"27600522";0;69;183;0;1;1;1;0;1;2;1;0;0;1;2;1;1;1;1;1;1;1;0;1;0;1;1;0;0
"27600531";0;73;188;1;0;0;1;1;1;2;0;1;0;1;1;0;1;1;1;1;1;0;1;1;1;0;1;1;1
"27600532";1;70;189;1;1;1;1;1;1;2;1;1;1;0;0;1;1;1;1;1;0;1;1;1;1;1;1;1;0
"27600534";1;16;191;1;1;1;1;1;1;2;0;0;1;1;2;1;1;1;1;1;1;1;1;1;1;0;1;0;0
"27600535";0;69;194;1;1;1;1;1;1;2;0;0;1;1;2;1;1;1;1;1;0;1;1;1;1;1;1;0;0
"27600543";1;69;185;0;1;1;1;1;1;2;1;1;0;1;1;0;1;1;1;1;1;1;1;1;0;0;1;0;0
"27600549";0;43;186;0;1;0;1;1;1;0;0;0;0;1;2;0;1;1;1;1;1;1;1;0;0;0;1;1;0
"27600551";0;60;183;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"27600556";0;43;192;1;1;0;1;0;1;0;1;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0
"27600557";0;29;189;1;1;0;1;1;1;0;1;0;1;0;1;0;1;1;1;1;0;1;1;0;0;1;1;1;0
"27600561";1;54;190;1;1;1;1;1;1;2;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0
"27600562";1;51;191;0;1;0;1;1;1;2;1;0;0;1;2;1;1;1;1;1;0;1;1;1;1;1;1;0;0
"27600569";0;30;191;1;1;1;1;1;1;1;0;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1
"27600573";0;53;190;1;1;0;1;1;0;0;1;1;0;1;0;2;1;1;1;1;0;1;1;1;0;0;1;1;0
"27600580";0;67;184;1;1;1;1;1;1;2;0;1;0;1;2;1;0;1;1;1;0;1;1;1;0;1;0;1;0
"27600583";0;33;188;1;1;1;1;1;1;2;0;0;1;1;2;2;1;1;1;1;1;1;1;0;0;0;1;0;0
"27600588";1;16;194;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0
"27600589";0;16;186;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0
"27600597";0;43;186;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0
